id,source,country,rating,date,codes,text
14497503269,apple,us,1,2026-09-01,PRICE_SURPRISE,Sneaky Charged — Do not recommend
14495869498,apple,us,1,2026-08-31,PRICE_SURPRISE,Charged me $300 got nothing — This company is a fraud!  Charged me $297 for nothing in July!  Don’t sign up for their med services!!!
14495834905,apple,us,3,2026-08-31,,"Useless other than as a drink tracker — Update:  I am impressed that the developer reached out. I did keep using the app and it got better. I do like the explanations of how alcohol affects your body. For me, this is motivating.  I dont like that they keep pushing a drug and counseling even though I said multiple times not interested  Very unorganized. There are things to click all over the place and zero guidance on how to use the app effectively. They do however want to sell you drugs and counseling time"
14495787518,apple,us,1,2026-08-31,PAYWALL_TIMING,"Complete waste of time and money — I used this app a half-dozen times and found it to be of little help. Then I completely forgot it was on my phone UNTIL a $59.00 subscription renewal fee was deducted from my bank account. No reminder, no warning. Pretty unscrupulous."
14495126991,apple,us,5,2026-08-31,,Liberation — This app has helped me to set myself free. Alcohol used to control my life. Now I control my life.
14494571782,apple,us,5,2026-08-31,,"Reframe: Drink less and thrive — This app changed my life. After nearly 50 years of drinking, I joined Reframe at 60. I’m now 1,375 days alcohol-free. The science, tools, meetings, and community gave me the knowledge and support I needed to change my relationship with alcohol. Forever grateful I found Reframe. ❤️ I 100% recommend Reframe."
14486496111,apple,us,1,2026-08-29,PAYWALL_TIMING,"Money Off The Back — If you’re actually helping people quit or cut back, then help them FIRST. Then it makes sense to charge for the progress they’ve made and going forward. People are more likely and willing to pay/support something they’ve seen actually work (especially through personal experience with the app). Not absurd to assume you’re like most apps who want my money, whether the app works or not. Btw, you should produce a policy that supports your “money back 200%” claim in the signup process. I haven’t seen one on it 👎"
14484957132,apple,us,1,2026-08-29,PRICE_SURPRISE,Beware of auto renew — They auto renew even when the app hasn’t been used in ages - no notice - just whack ya
14480223449,apple,us,4,2026-08-27,PRICE_SURPRISE,Sucks — Total scam
14470921209,apple,us,2,2026-08-25,,Barely works — This app fails every single day. It takes multiple attempts to open. The app commonly wont open at all and I’ll miss days of recording which is horrible for consistency… this app is a mess
14463962214,apple,us,1,2026-08-23,PRICE_SURPRISE,"Refused a refund — Very frustrated. Signed up for the free-trial which I never even used, and unfortunately forgot to cancel the subscription before I was charged for the ENTIRE year ($119) out of my bank account. In between signing up for the trial I had decided to pursue in person help which has already been a strain on my pockets. I asked Reframe support for a refund and the ONLY response I got was a few days ago “gently advising me” to continue with the subscription because “it would pay off in the long run”. While that may be true, I am an adult that is capable of making my own decisions. I don’t need some random tech support attempting to tell me what’s best for ME. After reiterating that I wanted a refund, my last three messages to Reframe support was ignored. Unfortunately it seems like I am not the only person with an experience similiar to this."
14462452756,apple,us,5,2026-08-23,,"Game changer! — Reframe has given me much more than I thought possible. The tools, science, psychology, support and personalized journey is the difference between wanting to be sober and Being Sober! Grateful"
14461469211,apple,us,1,2026-08-22,,Freedom? — Better free
14459902766,apple,us,1,2026-08-22,PRICE_SURPRISE,Won’t let me cancel — I still got charged even after I cancelled my subscription and my account
14457014946,apple,us,1,2026-08-21,EMOTIONAL_FIT_NEG|PRICE_SURPRISE,"Tried then charged — I was trying the reframe app for the week to see if it was something I’d be interested in sticking with. I found the app unuseful, and just not for me. I cancelled the free trial/subscription within the week and was still charged the $119 year fee. Customer service was immediately responsive, but now has not returned my email. Bad practice. Pick an app that won’t steal your money."
14456278646,apple,us,1,2026-08-21,PRICE_SURPRISE,"Charges — After my initial week trial I canceled, I was then offered an additional trial. I accepted and then tried to downgrade before the week was over. Upon doing so, it showed “no subscriptions” and there was no upgrade to cancel. Two days later I was charged $119.99 and I am still dealing with getting this fraudulent charge reversed. The idea of the app is great and I love the free version, but don’t even take the trial unless you are prepared to get stuck with a massive unauthorized charge and no solution"
14455503545,apple,us,1,2026-08-21,PRICE_SURPRISE,Fraud scam — Do not use this app not even the free trial they will charge you the yearly fee and then when reaching customer service they will ignore your request for refund and refuse to pay you I’ve filed a small claim lawsuit against reframe and anyone else that was charged and not yet refunded should too.
14451966696,apple,us,5,2026-08-20,,"Better than the “others” — Such a good supplement to individual counseling. Love the specialized advice, content, and community. Worth every penny"
14447874592,apple,us,5,2026-08-19,EMOTIONAL_FIT_POS,"Made all the difference — Reframe’s community is amazing. Its coaches are wonderful caring individuals. Don’t skip the meetings. They are the best part I think. After many tries on my own, just cut back or stop drinking Reframe made all the difference. There’s no judgment. You don’t have to declare yourself an alcoholic every time you speak in a meeting, or you can just listen, just a group of people who have been there too. Their approach to helping you understand why you continue to drink even after you wouldn’t like to stop and what’s happening inside body and brain is really valuable."
14444770046,apple,us,1,2026-08-18,,Data grab — Large personal health / psych data grab before they tell you it’s a paid app. Gross.
14444527388,apple,us,5,2026-08-18,,"On Game Point Tight — After a couple of ‘times’ with over drinking, I said to myself we really need to stop this.  That thought stuck in my head for quite a few months.  After the very ‘last time’ this popped up on my feed and I completed some research.  This app is truly amazing.  From the community down to the education you will receive, it is well worth the purchase.  Don’t be like me and have the ‘very last time’ or no time at all. You can do this and you will find the support and access to information, support, and tools you will actually need."
14442969403,apple,us,4,2026-08-18,,"Good, but could be better — Community and most features are great but it doesn’t update Apple Health the way alternative cutback apps do. Ironically it’ll read from AH, but not update. I use AH as my health dashboard, don’t want to use Reframe for that - alcohol is just one aspect of my health journey."
14442877001,apple,us,1,2026-08-18,PRICE_SURPRISE,"Scam Alert — I’ve tried to contact them regarding a incorrect charge. No phone number, no response to multiple emails."
